name,sort_order,title,dom_id,github,twitter,home_page,biography,subject,abstract,english
Yukihiro (Matz) Matsumoto,1,"Creator of Ruby, Heroku",matz,matz,yukihiro_matz,http://www.rubyist.net/~matz/,Father or Ruby Programming Language,Lazy Programmers,"Matz will talk about three virtues of great programmers,",1
Sarah Allen,2,"Presidential Innovation Fellow, Smithsonian Institution",ultrasaurus,ultrasaurus,ultrasaurus,http://www.ultrasaurus.com,Co-founder of Mightyverse and Presidential Innovation Fellow at the Smithsonian Institution.,TBA,"especially the first one, laziness, and how they influenced",1
Aaron Patterson,3,"Ruby Core, Rails Core",tenderlove,tenderlove,tenderlove,http://tenderlovemaking.com/,"Aaron was born and raised on the mean streets of Salt Lake City. His only hope for survival was to join the local gang of undercover street ballet performers known as the Tender Tights. As a Tender Tights member, Aaron learned to perfect the technique of self-defense pirouettes so that nobody, not even the Parkour Posse could catch him. Between vicious street dance-offs, Aaron taught himself to program. He learned to combine the art of street ballet with the craft of software engineering. Using these unique skills, he was able to leave his life on the streets and become a professional software engineer. He is currently Pirouetting through Processes, and Couruing through code for Red Hat. Sometimes he thinks back fondly on his life in the Tender Tights, but then he remembers that it is better to have Tender Loved and Lost than to never have Tender Taught at all.",TBA,the design and philosophy of Ruby,1
Ruddy Lee / 李智樺,4,老師,ruddylee,,,https://ruddyblog.wordpress.com/,擁有超過30年的資訊工作經驗。早期從事於 IBM 系統網路的鑽研，曾設計過國內郵務、儲匯及國內外多家銀行的分行系統，近年來專注於微軟各類嶄新技術的技術研究，擅長於軟體 prototype 的架構設計及新產品的技術測試工作，經常擔任產品技術早期的宣導講師，從事推廣敏捷開發的 SCRUM 專案管理。現在擔任 Waveface 公司架構設計師，同時也是 MSDN 的特約講師。,未來的專案開發 The future of project development,"對軟體開發的成長過程而言；敏捷開發用迭代(iteration)式小週期循環的開發方式，克服了傳統開發對需求變更的無奈，成功克服了複雜專案的開發。但在這個 Mobile is eating the world的時代裡，任何開發作業的時間都嚴重的受到了挑戰，一切都越變越快，產品生命週期的長短就彷彿像手機App的安裝與移除一般的令人驚訝它的快速，此時能夠迅速交付產品的精實開發，
便成了大家的寵兒，因為它能盡快提供具有足夠價值的產物給客戶，這種稱不上是創新卻能整合開發與維運的架構方式，就稱之為DevOps。對軟體開發的成長過程而言；敏捷開發用迭代(iteration)式小週期循環的開發方式，克服了傳統開發對需求變更的無奈，成功克服了複雜專案的開發。但在這個 Mobile is eating the world的時代裡，任何開發作業的時間都嚴重的受到了挑戰，一切都越變越快，產品生命週期的長短就彷彿像手機App的安裝與移除一般的令人驚訝它的快速，此時能夠迅速交付產品的精實開發，
便成了大家的寵兒，因為它能盡快提供具有足夠價值的產物給客戶，這種稱不上是創新卻能整合開發與維運的架構方式，就稱之為DevOps。",0
Fred Wu,5,"Delivery Lead, REA Group",fredwu,fredwu,fredwu,http://fredwu.me/,"Fred is a motivated and established software developer, designer and manager with a strong focus on code craftsmanship, business values and user experience. He's worked at companies such as Envato, SitePoint, PlayUp and Locomote and is currently working at REA Group (http://www.realestate.com.au/).



Having built his first webpage back in 1997, Fred soon became interested in and started dabbling in the web industry. He began his career as a software developer while studying at Monash University - he worked as a part time web developer in a small web development firm as well as a freelancer designing and building client websites.



Fred is a passionate open source developer who has made contributions to many dozens of open source projects including being one of the top 200 committers of Ruby on Rails - one of the most popular web frameworks, and an early co-author of Slim - one of the most popular template engines for Ruby. Today, ruby gems developed by Fred have a combined downloads of 5mil+.



In 2012 Fred was invited to speak at RubyConf China. His talk ""Become a Better Developer You Can"" was well received and has been tweeted by many industry veterans including Yukihiro Matsumoto (Matz) - the author of the Ruby programming language.Fred is a motivated and established software developer, designer and manager with a strong focus on code craftsmanship, business values and user experience. He's worked at companies such as Envato, SitePoint, PlayUp and Locomote and is currently working at REA Group (http://www.realestate.com.au/).



Having built his first webpage back in 1997, Fred soon became interested in and started dabbling in the web industry. He began his career as a software developer while studying at Monash University - he worked as a part time web developer in a small web development firm as well as a freelancer designing and building client websites.



Fred is a passionate open source developer who has made contributions to many dozens of open source projects including being one of the top 200 committers of Ruby on Rails - one of the most popular web frameworks, and an early co-author of Slim - one of the most popular template engines for Ruby. Today, ruby gems developed by Fred have a combined downloads of 5mil+.



In 2012 Fred was invited to speak at RubyConf China. His talk ""Become a Better Developer You Can"" was well received and has been tweeted by many industry veterans including Yukihiro Matsumoto (Matz) - the author of the Ruby programming language.",Get Ahead By Open Source,"There is a saying of ""10,000 hours of practice makes you an expert"" - no matter whether you believe it or not, it is clear that by spending more time wisely on a particular subject, you will gain experience and insights therefore you would become more competent in that subject.



There are thousands of thousands of talented, driven and passionate developers around the world, how do you get ahead then?



Open source!



When others watch TV, play games or go out for drinks after work, what if you spend an hour or two everyday contributing to open source projects?



This talk will take you through the journey I have been through so far, and paint you a picture of how I end up being a top 200 Ruby on Rails contributor, and have a combined downloads of 5mil+ for all the ruby gems I have developed.



Ever wondered how you could start getting your feet wet in open source? How you could start contributing without the fear of being judged by your code quality? How you could motivate yourself when some people disregard your contribution and effort? How you could balance open source contribution with your day job? You’re in for a treat!There is a saying of ""10,000 hours of practice makes you an expert"" - no matter whether you believe it or not, it is clear that by spending more time wisely on a particular subject, you will gain experience and insights therefore you would become more competent in that subject.



There are thousands of thousands of talented, driven and passionate developers around the world, how do you get ahead then?



Open source!



When others watch TV, play games or go out for drinks after work, what if you spend an hour or two everyday contributing to open source projects?



This talk will take you through the journey I have been through so far, and paint you a picture of how I end up being a top 200 Ruby on Rails contributor, and have a combined downloads of 5mil+ for all the ruby gems I have developed.



Ever wondered how you could start getting your feet wet in open source? How you could start contributing without the fear of being judged by your code quality? How you could motivate yourself when some people disregard your contribution and effort? How you could balance open source contribution with your day job? You’re in for a treat!",1
PJ Hagerty,6,"Community Team Lead, Engine Yard",aspleenic,aspleenic,aspleenic,https://about.me/pjhagerty,"Developer, writer, speaker, musician, and Team Lead of an elite band known as the Engine Yard Community Team, PJ is known to travel the world speaking about programming and the way people think and interact. He is also known for wearing hats.",Urban Legends: What You Code Makes You Who You Are,"If you were a carpenter, would your skills at building be more important than the tools you use to build? Skills, right? Tools are just a means to an end. So why do developers think the language they use defines the problems they solve?



This talk will take a look at misconceptions across the board, some experiences, both positive and negative, people have had crossing barriers to new languages, and show some of the benefits thinking of one's self as a coder and not a ""Ruby coder"" or a ""PHP dev"" can have on being a better problem solver.If you were a carpenter, would your skills at building be more important than the tools you use to build? Skills, right? Tools are just a means to an end. So why do developers think the language they use defines the problems they solve?



This talk will take a look at misconceptions across the board, some experiences, both positive and negative, people have had crossing barriers to new languages, and show some of the benefits thinking of one's self as a coder and not a ""Ruby coder"" or a ""PHP dev"" can have on being a better problem solver.",1
Vipul A M,7,"Software Developer, BigBinary",vipulnsward,vipulnsward,vipulnsward,http://bigbinary.com/vipul,"Vipul works as a Software Consultant at BigBinary LLC. He is an avid Rails and Ruby Projects Contributor. His spare time is spent exploring and contributing to many Open Source ruby projects, when not dabbling with Clojure or React JS.



He's currently working on a book titled - ""ReactJS by Example"", that does a deep walk-through of using ReactJS, whilst working on project examples.



Vipul loves Ruby's vibrant community and helps in building PuneRb, is the founder of and runs RubyIndia Community Newsletter and RubyIndia Podcast, and organizes Deccan Ruby Conference in Pune.Vipul works as a Software Consultant at BigBinary LLC. He is an avid Rails and Ruby Projects Contributor. His spare time is spent exploring and contributing to many Open Source ruby projects, when not dabbling with Clojure or React JS.



He's currently working on a book titled - ""ReactJS by Example"", that does a deep walk-through of using ReactJS, whilst working on project examples.



Vipul loves Ruby's vibrant community and helps in building PuneRb, is the founder of and runs RubyIndia Community Newsletter and RubyIndia Podcast, and organizes Deccan Ruby Conference in Pune.",React on Rails,"Rails has seen a lot of MVC’s for the V layer itself. May it be Ember or Angular, unless there’s some heavy groundwork, these don’t gel well with existing applications. React JS being framework Agnostic, blows out of these requirements, and being dead simple is far easier to add to existing / new projects.



In this talk we’ll do walkthrough on using React JS and some of the new ES 6 features it brings, and integrating and using React in Rails. We’ll then take a look at various integration approaches with Rails- webpack/browserify and how to manage data and states using backbone, flux, GraphQL+Relay and more.Rails has seen a lot of MVC’s for the V layer itself. May it be Ember or Angular, unless there’s some heavy groundwork, these don’t gel well with existing applications. React JS being framework Agnostic, blows out of these requirements, and being dead simple is far easier to add to existing / new projects.



In this talk we’ll do walkthrough on using React JS and some of the new ES 6 features it brings, and integrating and using React in Rails. We’ll then take a look at various integration approaches with Rails- webpack/browserify and how to manage data and states using backbone, flux, GraphQL+Relay and more.",1
Manuel Vidaurre,8,"VP, Product Development, Crowd Interactive",mvidaurre,mvidaurre,mvidaurre,https://medium.com/@mvidaurre,"me.born = ""Guadalajara, Jal"" me.passions = {value: ""adding more"", meaning: ""leaving a notch in life"", people: ""doing something to give them more happiness and freedom"", software: ""a way to adding more happiness and freedom to the people leaving a notch in life"", gourmet: ""my deepest sin"", music: ""eclectic tastes"", art: ""give happiness and color""] me.skills = {mental: [:problem_solving, :good_memory, :abstract_thinking, :positive_attitude, :focus, :results_oriented], social: [:listener, :learner, :mentor, :needs_elicitor, :mediator, :people_oriented ]} me.programming = { languages: [:ruby, :js, :html, :css, :coffeescript, :python, :scala, :elixir, :java, :c, :logo], skills: [:agiledev, :patterns, :continuos_improvement, :project_management, ], practices: [:software_craftsmanship, :test_first, :object_thinking, :solid_principles, :refactoring, :pair_programming, :collective_ownership], paradigms: [:domain_driven_design, :lean, :behaivour_driven_design, :scrum, :xp]. web_frameworks: [:rails, :sinatra,:ember.js], tools: [:cucumber, :rspec, :capybara, :git, :jquery, :sql, :mongodb]. segments: [:health, :real_state, :retail, :gis]} me.past = { jobs: {university_of_guadalajara: :chief_of_programming_and_analysis, panamerican_health_organization: => advisor_information_systems, johns_hopkins: lab_professor, business: [:venyrent, :asdetec, :buzzurbano]} me.present = {business: [:agiltec, :imber, :emagazine], communities: [:ruby_gdl, :elixir_gdl, :toolsforfullstack, :startupweeken



https://about.me/manuel.vidaurreme.born = ""Guadalajara, Jal"" me.passions = {value: ""adding more"", meaning: ""leaving a notch in life"", people: ""doing something to give them more happiness and freedom"", software: ""a way to adding more happiness and freedom to the people leaving a notch in life"", gourmet: ""my deepest sin"", music: ""eclectic tastes"", art: ""give happiness and color""] me.skills = {mental: [:problem_solving, :good_memory, :abstract_thinking, :positive_attitude, :focus, :results_oriented], social: [:listener, :learner, :mentor, :needs_elicitor, :mediator, :people_oriented ]} me.programming = { languages: [:ruby, :js, :html, :css, :coffeescript, :python, :scala, :elixir, :java, :c, :logo], skills: [:agiledev, :patterns, :continuos_improvement, :project_management, ], practices: [:software_craftsmanship, :test_first, :object_thinking, :solid_principles, :refactoring, :pair_programming, :collective_ownership], paradigms: [:domain_driven_design, :lean, :behaivour_driven_design, :scrum, :xp]. web_frameworks: [:rails, :sinatra,:ember.js], tools: [:cucumber, :rspec, :capybara, :git, :jquery, :sql, :mongodb]. segments: [:health, :real_state, :retail, :gis]} me.past = { jobs: {university_of_guadalajara: :chief_of_programming_and_analysis, panamerican_health_organization: => advisor_information_systems, johns_hopkins: lab_professor, business: [:venyrent, :asdetec, :buzzurbano]} me.present = {business: [:agiltec, :imber, :emagazine], communities: [:ruby_gdl, :elixir_gdl, :toolsforfullstack, :startupweeken



https://about.me/manuel.vidaurre",Using Ruby to Implement e-commerce: Lessons Learned and Challenges,"Implementing e-commerce is complicated because there are several interconnected parts as:

* Architectural Design and Patterns

* Appropriate use of messaging, composition and inheritance

* Balancing the transactions security and the user experience

* Integration with 3rd-party services

* Clear conversion funnel/workflow for ensuring business viability

* Features management and implementation

* I18n and localization

* Continuos Integration and Deployment

* Support and maintenance of e-commerce infrastructure



We as a team focus in e-commerce implementation. Since several years ago, we have successfully implemented e-commerce for several customers, using Ruby, Ruby on Rails, Sinatra, Spreecommerce and other frameworks and platforms. We have learned many things in the process and we have identified common pitfalls and challenges. In this talk, those lessons learned will be presented, as well, how to implement a successful e-commerce.Implementing e-commerce is complicated because there are several interconnected parts as:

* Architectural Design and Patterns

* Appropriate use of messaging, composition and inheritance

* Balancing the transactions security and the user experience

* Integration with 3rd-party services

* Clear conversion funnel/workflow for ensuring business viability

* Features management and implementation

* I18n and localization

* Continuos Integration and Deployment

* Support and maintenance of e-commerce infrastructure



We as a team focus in e-commerce implementation. Since several years ago, we have successfully implemented e-commerce for several customers, using Ruby, Ruby on Rails, Sinatra, Spreecommerce and other frameworks and platforms. We have learned many things in the process and we have identified common pitfalls and challenges. In this talk, those lessons learned will be presented, as well, how to implement a successful e-commerce.",1
簡煒航,9,Freelancer,tonytonyjan,tonytonyjan,tonytonyjan,http://tonytonyjan.net,"喜歡 Ruby、Java、C，愛好寫程式，以此為樂，並以此維生。 



Love Ruby, Java and C. Program for joy and living.喜歡 Ruby、Java、C，愛好寫程式，以此為樂，並以此維生。 



Love Ruby, Java and C. Program for joy and living.",Gulp on Rails: Return Front-end back to Front-end Developers (還給前端工程師一個天空),"Rails sprockets is dated. It was an awesome tool in years since its inception. Although it's easy to use, when it starts having bugs (we know it had), front-end developers are helpless in what is supposed to be their own ecosystem, because they don't know Ruby. Why should a front-end developers knows how to use Sprockets/Ruby instead of using their tools like gulp, grunt, browserify, webpack, etc, that belongs to JS ecosystem?



Gulp, a modern approach to asset pipeline has become more popular and actively maintained by JS community. In this session, I'll share how and why I integrate Gulp and Rails.Rails sprockets is dated. It was an awesome tool in years since its inception. Although it's easy to use, when it starts having bugs (we know it had), front-end developers are helpless in what is supposed to be their own ecosystem, because they don't know Ruby. Why should a front-end developers knows how to use Sprockets/Ruby instead of using their tools like gulp, grunt, browserify, webpack, etc, that belongs to JS ecosystem?



Gulp, a modern approach to asset pipeline has become more popular and actively maintained by JS community. In this session, I'll share how and why I integrate Gulp and Rails.",0
